output,status,warnings,margin_1024,green_pixels
public/game-assets/items/currency/gold_coins.png,PASS,,51,0
public/game-assets/items/currency/gold_coins_few.png,PASS,,51,0
public/game-assets/items/currency/gold_coins_many.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/currency/silver_coins.png,PASS,,51,0
public/game-assets/items/currency/silver_coins_few.png,PASS,,51,0
public/game-assets/items/currency/silver_coins_many.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/currency/copper_coins.png,PASS,,51,0
public/game-assets/items/currency/copper_coins_few.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/currency/copper_coins_many.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/document/sunwake_harbor_company_share.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/painted_coast_annals_i_first_lanterns.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/painted_coast_annals_ii_crownfall_roads.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/painted_coast_annals_iii_guild_charms.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/painted_coast_annals_iv_the_sundering_tide.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/painted_coast_annals_v_springtide_markets.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/painted_coast_annals_vi_the_banner_wars.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/painted_coast_annals_vii_the_long_dusk.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/painted_coast_annals_viii_guildrule.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/amberwick_harbor_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/highbell_shrine_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/stormmere_ledger_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/crownfall_hill_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/embercourt_market_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/brasskeep_gate_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/pearlgate_tide_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/riverwake_mill_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/dawnmere_coast_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/appleford_orchard_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/wolfhook_bay_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/mirrorfen_lake_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/oldwake_harbor_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/gatecrag_toll_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/frosthaven_snow_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/sunwell_oasis_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/glassmere_court_chronicle.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/blue_enamel_charms.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/lantern_summoning_primer.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/gravebinding_primer.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/mirror_mask_primer.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/reshaping_primer.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/unraveling_primer.png,PASS,,51,0
public/game-assets/items/book/field_farmer_s_almanac.png,PASS,,51,0
public/game-assets/items/book/painted_flower_almanac.png,PASS,,51,0
public/game-assets/items/book/pocket_guide_to_small_beasts.png,PASS,,51,0
public/game-assets/items/book/pocket_guide_to_work_beasts.png,PASS,,51,0
public/game-assets/items/book/fisher_s_tide_almanac.png,PASS,,51,0
public/game-assets/items/book/blue_enamel_bestiary.png,PASS,,51,0
public/game-assets/items/book/amateur_alchemist_s_shelf.png,PASS,,51,0
public/game-assets/items/book/miner_s_chalk_reference.png,PASS,,51,0
public/game-assets/items/book/blacksmith_s_door_directory.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/crowncards_table_rules.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/crowncards_collector_s_compendium.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/crowncards_deckcraft_i.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/crowncards_deckcraft_ii.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/crowncards_winning_tables.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/the_great_crowncards_match.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/nine_lantern_signs.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/starfall_epic.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/one_hundred_thirty_one_market_charms.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/book_of_springtide.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/book_of_springtide_in_gold_sleeve.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/children_of_the_tide_saints.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/moonlit_awareness_and_wonder.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/luckbinder_manifesto.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/battle_of_stormmere.png,PASS,source_crossed_nominal_cell,51,0
public/game-assets/items/book/legend_of_jaro.png,PASS,source_crossed_nominal_cell,51,0
